USAF,STATION NAME,CTRY,STATE,LAT,LON
11080,VEGA-VALLSJO,NO,,+65.700,+011.850
11090,SKALVAER,NO,,+65.867,+012.183
11091,SKALVAER,NO,,+65.867,+012.183
11100,YTTERHOLMEN FYR,NO,,+66.000,+011.683
11110,BRONNOYSUND,NO,,+65.467,+012.217
11120,BRONNOY,NO,,+65.461,+012.218
11130,GLOMFJORD,NO,,+66.800,+013.983
11133,DAGALI,NO,,+60.417,+008.513
11140,REIPA,NO,,+66.900,+013.633
11150,MYKEN,NO,,+66.767,+012.483
11160,STOKKA,NO,,+65.950,+012.467
11170,TJOTTA,NO,,+65.817,+012.417
11181,ALSTAHAUG,NO,,+66.000,+012.600
11210,SOLVAER III,NO,,+66.367,+012.617
11220,KJAERSTAD,NO,,+65.784,+013.215
11240,SNASA,NO,,+64.167,+012.467
11310,GLAPEN LIGHTHOUSE,NO,,+67.883,+013.050
11311,GLAPEN (LGT-H),NO,,+67.883,+013.050
11320,MAJAVATN V,NO,,+65.167,+013.367
11330,LAKSFORS,NO,,+65.617,+013.283
11340,MAJAVATN III,NO,,+65.183,+013.417
11350,SELJELIA,NO,,+66.117,+013.583
11370,STOTT,NO,,+66.933,+013.450
11380,TENNHOLMEN (LGT-H),NO,,+67.300,+013.500
11390,VAEROY HELIPORT,NO,,+67.650,+012.717
11410,LEKNES,NO,,+68.150,+013.617
11430,DRAG-AJLUOKTA,NO,,+68.050,+016.083
11440,HELLIGVAER II,NO,,+67.400,+013.883
11450,KVALNES I LOFOTEN,NO,,+68.350,+013.967
11451,KVALNES,NO,,+68.350,+013.967
11460,SKAMDAL,NO,,+66.233,+013.883
11461,HELLIGVAER ISLAND,NO,,+67.400,+013.900
11470,VARNTRESK,NO,,+65.833,+014.183
11471,HATTFJELLDAL,NO,,+65.583,+014.017
11480,STORFORSHEI,NO,,+66.383,+014.517
11490,RANA-BASMOEN,NO,,+66.333,+014.100
11500,HJARTASEN,NO,,+66.500,+014.950
11501,HATTFJELLDAL-KRUTA,NO,,+65.683,+014.167
11510,MOIRANA,NO,,+66.367,+014.300
11520,BODO,NO,,+67.269,+014.365
11530,BODO-VAGONES,NO,,+67.283,+014.450
11540,LITLOY FYR,NO,,+68.583,+014.300
11550,BO I VESTERALEN II,NO,,+68.633,+014.467
11560,BO I VESTERALEN,NO,,+68.600,+014.433
11580,SETSA,NO,,+67.167,+015.483
11600,SKROVA FYR,NO,,+68.150,+014.650
11610,SVOLVAER/HELLE,NO,,+68.250,+014.667
11620,STORKMARKNES/SKAGEN,NO,,+68.583,+015.017
11630,BOLNA,NO,,+66.500,+015.250
11631,BOLNA,NO,,+66.500,+015.233
11650,GROTOY,NO,,+67.833,+014.783
11651,GROTOY,NO,,+67.833,+014.783
11670,SORTLAND,NO,,+68.700,+015.417
11671,SULITJELMA,NO,,+67.133,+016.083
11680,KLEIVA I SORTLAND,NO,,+68.650,+015.283
11690,SALTDAL-NORDNES,NO,,+66.933,+015.317
11691,OVRE SALTDAL,NO,,+66.967,+015.317
11700,FAUSKE-VETEN,NO,,+67.233,+015.317
11701,FAUSKE-VETEN,NO,,+67.233,+015.317
11720,FINNOY I HAMAROY,NO,,+68.000,+015.617
11731,OFFERSOY,NO,,+68.317,+015.650
11751,LODINGEN,NO,,+68.400,+016.000
11760,KONGSVIK,NO,,+68.567,+016.267
11761,KONGSVIK,NO,,+68.567,+016.267
11771,TYSFJORD,NO,,+68.050,+016.033
11800,HARSTAD,NO,,+68.800,+016.533
11820,EVENSKJER,NO,,+68.583,+016.583
11821,EVENSKJER,NO,,+68.583,+016.583
11830,EVENES,NO,,+68.491,+016.678
11840,SANDSOY I SENJA,NO,,+68.933,+016.683
11841,SANDSOY,NO,,+68.933,+016.683
